dataset_size,seed,parameters,train_loss_nats,elapsed_seconds,uniform_bits,compressed_bits,memorized_bits,fraction_memorized
32,0,15808,0.033480919897556305,0.44433820800622925,4960.0,47.0090773734608,4912.990922626539,0.99052236343277
128,0,15808,0.6986056566238403,0.6916742919711396,19840.0,3987.1848434622243,15852.815156537776,0.799033022002912
512,0,15808,3.068108320236206,0.6850812920019962,79360.0,70004.46277065584,9355.537229344161,0.11788731387782461
